C;classWeights;coef0;degree;gamma;nu;p;innerMargins;blkSizes;trainingsSet;TP;FP;FN;TN;precision
0.1;"";0;0;0.00015;0;0;0;0;0;299;0;220;1281;87.7778
2.5;"";0;0;0.00015;0;0;0;0;1;316;0;258;1226;85.6667
0.1;"";0;0;0.00015;0;0;0;0;2;225;0;205;1370;88.6111
0.1;"";0;0;0.00015;0;0;0;0;3;269;0;255;1276;85.8333
0.1;"";0;0;1e-05;0;0;0;0;4;280;0;160;1360;91.1111
2.5;"";0;0;0.00015;0;0;0;0;5;300;0;194;1306;89.2222
0.1;"";0;0;1e-05;0;0;0;1;0;241;0;139;1060;90.3472
2.5;"";0;0;1e-05;0;0;0;1;1;230;0;157;1053;89.0972
12.5;"";0;0;0.00015;0;0;0;1;2;108;0;222;1110;84.5833
2.5;"";0;0;1e-05;0;0;0;1;3;184;0;204;1052;85.8333
0.1;"";0;0;0.00015;0;0;0;1;4;238;0;118;1084;91.8056
0.1;"";0;0;0.00015;0;0;0;1;5;224;0;120;1096;91.6667
12.5;"";0;0;1e-05;0;0;0;2;0;82;0;116;712;87.2527
12.5;"";0;0;1e-05;0;0;0;2;1;88;0;101;721;88.9011
2.5;"";0;0;1e-05;0;0;0;2;2;38;0;113;759;87.5824
2.5;"";0;0;1e-05;0;0;0;2;3;42;0;147;721;83.8462
2.5;"";0;0;1e-05;0;0;0;2;4;89;0;82;739;90.989
2.5;"";0;0;1e-05;0;0;0;2;5;79;0;82;749;90.989
