C;classWeights;coef0;degree;gamma;nu;p;innerMargins;blkSizes;trainingsSet;TP;FP;FN;TN;precision
0.1;"";0;0;0.00225;0;0;0;0;0;293;0;220;1287;87.7778
0.1;"";0;0;0.00015;0;0;0;0;1;310;0;230;1260;87.2222
2.5;"";0;0;0.00225;0;0;0;0;2;358;0;1051;391;41.6111
0.1;"";0;0;0.00015;0;0;0;0;3;200;0;301;1299;83.2778
0.1;"";0;0;1e-05;0;0;0;0;4;325;0;192;1283;89.3333
0.1;"";0;0;0.00015;0;0;0;0;5;226;0;258;1316;85.6667
0.1;"";0;0;1e-05;0;0;0;1;0;245;0;134;1061;90.6944
0.1;"";0;0;1e-05;0;0;0;1;1;225;0;156;1059;89.1667
0.1;"";0;0;0.00015;0;0;0;1;2;108;0;216;1116;85
2.5;"";0;0;1e-05;0;0;0;1;3;182;0;269;989;81.3194
0.1;"";0;0;0.00015;0;0;0;1;4;231;0;119;1090;91.7361
2.5;"";0;0;0.00015;0;0;0;1;5;171;0;166;1103;88.4722
2.5;"";0;0;1e-05;0;0;0;2;0;92;0;106;712;88.3516
2.5;"";0;0;1e-05;0;0;0;2;1;82;0;104;724;88.5714
12.5;"";0;0;1e-05;0;0;0;2;2;46;0;109;755;88.022
2.5;"";0;0;1e-05;0;0;0;2;3;46;0;148;716;83.7363
2.5;"";0;0;1e-05;0;0;0;2;4;87;0;88;735;90.3297
12.5;"";0;0;1e-05;0;0;0;2;5;101;0;64;745;92.967
