C;classWeights;coef0;degree;gamma;nu;p;innerMargins;blkSizes;trainingsSet;TP;FP;FN;TN;precision
0.1;"";0;0;0.03375;0;0;0;0;0;49;0;433;1318;75.9444
62.5;"";0;0;1e-05;0;0;0;0;1;6;0;458;1336;74.5556
62.5;"";0;0;1e-05;0;0;0;0;2;114;0;475;1211;73.6111
2.5;"";0;0;0.00015;0;0;0;0;3;0;0;453;1347;74.8333
2.5;"";0;0;0.00015;0;0;0;0;4;0;0;396;1404;78
62.5;"";0;0;1e-05;0;0;0;0;5;0;0;424;1376;76.4444
0.1;"";0;0;0.00225;0;0;0;1;0;184;0;477;779;66.875
2.5;"";0;0;1e-05;0;0;0;1;1;0;0;343;1097;76.1806
2.5;"";0;0;0.00225;0;0;0;1;2;98;0;333;1009;76.875
12.5;"";0;0;1e-05;0;0;0;1;3;22;0;467;951;67.5694
0.1;"";0;0;0.00225;0;0;0;1;4;132;0;289;1019;79.9306
0.1;"";0;0;0.00225;0;0;0;1;5;136;0;307;997;78.6806
0.5;"";0;0;0.00015;0;0;0;2;0;90;0;130;690;85.7143
0.1;"";0;0;0.00015;0;0;0;2;1;88;0;134;688;85.2747
12.5;"";0;0;0.00015;0;0;0;2;2;43;0;137;730;84.9451
0.1;"";0;0;0.00015;0;0;0;2;3;49;0;163;698;82.0879
0.1;"";0;0;0.00015;0;0;0;2;4;31;0;123;756;86.4835
0.1;"";0;0;0.00015;0;0;0;2;5;43;0;126;741;86.1538
