
FV w Color;FV w LBP;include road marks
No;Yes;No;
C;gamma;blkSize;datasets trained on;TP;FN;FP;TN;precision;accuracy;recall;True negative rate;F
0.1;1;8;"1,2,3";70;181;164;485;29.9145;61.6667;27.8884;74.7304;28.866
0.1;1;8;"1,2,4";109;70;67;654;61.9318;84.7778;60.8939;90.7074;61.4085
0.1;1;8;"1,3,4";133;75;61;631;68.5567;84.8889;63.9423;91.185;66.1692
0.1;1;8;"2,3,4";156;60;116;568;57.3529;80.4444;72.2222;83.0409;63.9344
0.1;1;16;"1,2,3";107;88;213;312;33.4375;58.1944;54.8718;59.4286;41.5534
0.1;1;16;"1,2,4";65;74;49;532;57.0175;82.9167;46.7626;91.5663;51.3834
0.1;1;16;"1,3,4";120;29;219;352;35.3982;65.5556;80.5369;61.6462;49.1803
0.1;1;16;"2,3,4";81;79;122;438;39.9015;72.0833;50.625;78.2143;44.6281
0.1;1;32;"1,2,3";78;26;50;301;60.9375;83.2967;75;85.755;67.2414
0.1;1;32;"1,2,4";41;25;27;362;60.2941;88.5714;62.1212;93.0591;61.194
0.1;1;32;"1,3,4";48;20;35;352;57.8313;87.9121;70.5882;90.9561;63.5762
0.1;1;32;"2,3,4";63;11;49;332;56.25;86.8132;85.1351;87.1391;67.7419

FV w Color;FV w LBP;include road marks
Yes;No;No;
C;gamma;blkSize;datasets trained on;TP;FN;FP;TN;precision;accuracy;recall;True negative rate;F
0.1;1;8;"1,2,3";110;141;325;324;25.2874;48.2222;43.8247;49.923;32.07
0.1;1;8;"1,2,4";54;125;471;250;10.2857;33.7778;30.1676;34.6741;15.3409
0.1;1;8;"1,3,4";11;197;92;600;10.6796;67.8889;5.28846;86.7052;7.07395
0.1;1;8;"2,3,4";66;150;226;458;22.6027;58.2222;30.5556;66.9591;25.9843
0.1;1;16;"1,2,3";0;195;10;515;0;71.5278;0;98.0952;-nan
0.1;1;16;"1,2,4";102;37;150;431;40.4762;74.0278;73.3813;74.1824;52.1739
0.1;1;16;"1,3,4";48;101;109;462;30.5732;70.8333;32.2148;80.9107;31.3725
0.1;1;16;"2,3,4";4;156;18;542;18.1818;75.8333;2.5;96.7857;4.3956
0.1;1;32;"1,2,3";0;104;44;307;0;67.4725;0;87.4644;-nan
0.1;1;32;"1,2,4";12;54;8;381;60;86.3736;18.1818;97.9434;27.907
0.1;1;32;"1,3,4";0;68;108;279;0;61.3187;0;72.093;-nan
0.1;1;32;"2,3,4";7;67;101;280;6.48148;63.0769;9.45946;73.4908;7.69231

FV w Color;FV w LBP;include road marks
Yes;Yes;No;
C;gamma;blkSize;datasets trained on;TP;FN;FP;TN;precision;accuracy;recall;True negative rate;F
0.1;1;8;"1,2,3";121;130;166;483;42.1603;67.1111;48.2072;74.4222;44.9814
0.1;1;8;"1,2,4";127;52;41;680;75.5952;89.6667;70.9497;94.3135;73.1988
0.1;1;8;"1,3,4";113;95;163;529;40.942;71.3333;54.3269;76.4451;46.6942
