
FV w Color;FV w LBP;include road marks
No;Yes;No;
C;gamma;blkSize;datasets trained on;TP;FN;FP;TN;precision;accuracy;recall;True negative rate;F
0.1;0.00225;8;"1,2";289;141;85;1285;77.2727;87.4444;67.2093;93.7956;71.8905
0.1;0.00015;8;"1,3";274;185;55;1286;83.2827;86.6667;59.695;95.8986;69.5431
0.1;0.00015;8;"1,4";303;84;106;1307;74.0831;89.4444;78.2946;92.4982;76.1307
0.1;0.00015;8;"2,3";231;236;52;1281;81.6254;84;49.4647;96.099;61.6
0.1;1e-05;8;"2,4";282;113;95;1310;74.8011;88.4444;71.3924;93.2384;73.057
0.1;0.00015;8;"3,4";276;148;64;1312;81.1765;88.2222;65.0943;95.3488;72.2513
0.1;1e-05;16;"1,2";214;120;56;1050;79.2593;87.7778;64.0719;94.9367;70.8609
0.1;1e-05;16;"1,3";207;137;31;1065;86.9748;88.3333;60.1744;97.1715;71.134
12.5;0.00015;16;"1,4";78;210;38;1114;67.2414;82.7778;27.0833;96.7014;38.6139
0.1;1e-05;16;"2,3";162;193;31;1054;83.9378;84.4444;45.6338;97.1429;59.1241
0.1;0.00015;16;"2,4";239;60;62;1079;79.402;91.5278;79.9331;94.5662;79.6667
0.1;0.00015;16;"3,4";208;101;40;1091;83.871;90.2083;67.3139;96.4633;74.6858
2.5;1e-05;32;"1,2";93;77;30;710;75.6098;88.2418;54.7059;95.9459;63.4812
2.5;1e-05;32;"1,3";98;74;19;719;83.7607;89.7802;56.9767;97.4255;67.8201
12.5;1e-05;32;"1,4";33;101;18;758;64.7059;86.9231;24.6269;97.6804;35.6757
2.5;1e-05;32;"2,3";41;137;10;722;80.3922;83.8462;23.0337;98.6339;35.8079
2.5;1e-05;32;"2,4";91;49;35;735;72.2222;90.7692;65;95.4545;68.4211
12.5;1e-05;32;"3,4";91;51;16;752;85.0467;92.6374;64.0845;97.9167;73.0924

FV w Color;FV w LBP;include road marks
Yes;No;No;
C;gamma;blkSize;datasets trained on;TP;FN;FP;TN;precision;accuracy;recall;True negative rate;F
62.5;1e-05;8;"1,2";28;402;67;1303;29.4737;73.9444;6.51163;95.1095;10.6667
62.5;1e-05;8;"1,3";1;458;6;1335;14.2857;74.2222;0.217865;99.5526;0.429185
