,,,,,,,,,,,,
FV w Color,FV w LBP,include road marks,,,,,,,,,,
No,Yes,No,,,,,,,,,,
C,gamma,blkSize,datasets trained on,TP,FN,FP,TN,precision,accuracy,recall,True negative rate,F
2.5,0.00015,8,"1,2",0,430,0,1370,-nan,0.761111,0,1,-nan
62.5,0.00001,8,"1,3",37,422,58,1283,0.389474,0.733333,0.08061,0.956749,0.133574
62.5,0.00001,8,"1,4",80,307,149,1264,0.349345,0.746667,0.206718,0.894551,0.25974
62.5,0.00001,8,"2,3",16,451,96,1237,0.142857,0.696111,0.0342612,0.927982,0.0552677
2.5,0.00015,8,"2,4",2,393,1,1404,0.666667,0.781111,0.00506329,0.999288,0.0100503
62.5,0.00001,8,"3,4",163,261,277,1099,0.370455,0.701111,0.384434,0.798692,0.377315
2.5,0.00015,8,"1,2,3",251,0,536,113,0.318933,0.404444,1,0.174114,0.483622
2.5,0.00015,8,"1,2,4",0,179,0,721,-nan,0.801111,0,1,-nan
62.5,0.00001,8,"1,3,4",2,206,10,682,0.166667,0.76,0.00961538,0.985549,0.0181818
62.5,0.00001,8,"2,3,4",88,128,204,480,0.30137,0.631111,0.407407,0.701754,0.346457
0.1,0.00225,16,"1,2",77,257,33,1073,0.7,0.798611,0.230539,0.970163,0.346847
0.1,0.00015,16,"1,3",47,297,38,1058,0.552941,0.767361,0.136628,0.965328,0.219114
2.5,0.00225,16,"1,4",90,198,97,1055,0.481283,0.795139,0.3125,0.915799,0.378947
0.1,0.00225,16,"2,3",148,207,107,978,0.580392,0.781944,0.416901,0.901382,0.485246
2.5,0.00225,16,"2,4",185,114,284,857,0.394456,0.723611,0.618729,0.751096,0.481771
0.1,0.00225,16,"3,4",95,214,63,1068,0.601266,0.807639,0.307443,0.944297,0.406852
0.1,0.00225,16,"1,2,3",82,113,49,476,0.625954,0.775,0.420513,0.906667,0.503067
2.5,0.00225,16,"1,2,4",58,81,64,517,0.47541,0.798611,0.417266,0.889845,0.444444
2.5,0.00225,16,"1,3,4",66,83,85,486,0.437086,0.766667,0.442953,0.851138,0.44
0.1,0.00225,16,"2,3,4",57,103,19,541,0.75,0.830556,0.35625,0.966071,0.483051
2.5,0.00015,32,"1,2",112,58,64,676,0.636364,0.865934,0.658824,0.913514,0.647399
0.1,0.00015,32,"1,3",99,73,29,709,0.773438,0.887912,0.575581,0.960705,0.66
2.5,0.00015,32,"1,4",57,77,28,748,0.670588,0.884615,0.425373,0.963918,0.520548
2.5,0.00015,32,"2,3",101,77,40,692,0.716312,0.871429,0.567416,0.945355,0.633229
0.1,0.00015,32,"2,4",58,82,17,753,0.773333,0.891209,0.414286,0.977922,0.539535
2.5,0.00015,32,"3,4",69,73,17,751,0.802326,0.901099,0.485915,0.977865,0.605263
0.1,0.00015,32,"1,2,3",84,20,43,308,0.661417,0.861538,0.807692,0.877493,0.727273
2.5,0.00015,32,"1,2,4",28,38,23,366,0.54902,0.865934,0.424242,0.940874,0.478632
0.1,0.00015,32,"1,3,4",43,25,22,365,0.661538,0.896703,0.632353,0.943152,0.646617
0.1,0.00015,32,"2,3,4",36,38,12,369,0.75,0.89011,0.486486,0.968504,0.590164
,,,,,,,,,,,,
FV w Color,FV w LBP,include road marks,,,,,,,,,,
Yes,No,No,,,,,,,,,,
C,gamma,blkSize,datasets trained on,TP,FN,FP,TN,precision,accuracy,recall,True negative rate,F
0.1,0.00225,8,"1,2",289,141,84,1286,0.774799,0.875,0.672093,0.938686,0.719801
0.1,0.00225,8,"1,3",279,180,49,1292,0.85061,0.872778,0.607843,0.96346,0.709022
2.5,0.00225,8,"1,4",314,73,687,726,0.313686,0.577778,0.81137,0.5138,0.45245
