
FV w Color;FV w LBP;include road marks
No;Yes;No;
C;gamma;blkSize;datasets trained on;TP;FN;FP;TN;precision;accuracy;recall;True negative rate;F
0.1;1;8;"1,2";111;319;213;1157;0.342593;0.704444;0.25814;0.844526;0.29443
0.1;1;8;"1,3";4;455;88;1253;0.0434783;0.698333;0.0087146;0.934377;0.0145191
0.1;1;8;"1,4";387;0;1347;66;0.223183;0.251667;1;0.0467091;0.364922
0.1;1;8;"2,3";167;300;630;703;0.209536;0.483333;0.357602;0.527382;0.264241
0.1;1;8;"2,4";113;282;248;1157;0.313019;0.705556;0.286076;0.823488;0.298942
0.1;1;8;"3,4";104;320;622;754;0.143251;0.476667;0.245283;0.547965;0.18087
0.1;1;8;"1,2,3";251;0;623;26;0.287185;0.307778;1;0.0400616;0.446222
0.1;1;8;"1,2,4";177;2;677;44;0.20726;0.245556;0.988827;0.0610264;0.342691
0.1;1;8;"1,3,4";206;2;650;42;0.240654;0.275556;0.990385;0.0606936;0.387218
0.1;1;8;"2,3,4";204;12;573;111;0.262548;0.35;0.944444;0.162281;0.410876
0.1;1;16;"1,2";26;308;51;1055;0.337662;0.750694;0.0778443;0.953888;0.126521
0.1;1;16;"1,3";123;221;374;722;0.247485;0.586806;0.357558;0.658759;0.292509
0.1;1;16;"1,4";221;67;423;729;0.343168;0.659722;0.767361;0.632812;0.474249
0.1;1;16;"2,3";68;287;142;943;0.32381;0.702083;0.191549;0.869124;0.240708
0.1;1;16;"2,4";132;167;329;812;0.286334;0.655556;0.441472;0.711656;0.347368
0.1;1;16;"3,4";195;114;427;704;0.313505;0.624306;0.631068;0.622458;0.418904
0.1;1;16;"1,2,3";37;158;77;448;0.324561;0.673611;0.189744;0.853333;0.239482
0.1;1;16;"1,2,4";26;113;88;493;0.22807;0.720833;0.18705;0.848537;0.205534
0.1;1;16;"1,3,4";93;56;197;374;0.32069;0.648611;0.624161;0.654991;0.42369
0.1;1;16;"2,3,4";41;119;167;393;0.197115;0.602778;0.25625;0.701786;0.222826
0.1;1;32;"1,2";115;55;404;336;0.22158;0.495604;0.676471;0.454054;0.333817
0.1;1;32;"1,3";20;152;23;715;0.465116;0.807692;0.116279;0.968835;0.186047
0.1;1;32;"1,4";21;113;167;609;0.111702;0.692308;0.156716;0.784794;0.130435
0.1;1;32;"2,3";118;60;246;486;0.324176;0.663736;0.662921;0.663934;0.435424
0.1;1;32;"2,4";47;93;74;696;0.38843;0.816484;0.335714;0.903896;0.360153
0.1;1;32;"3,4";20;122;198;570;0.0917431;0.648352;0.140845;0.742188;0.111111
0.1;1;32;"1,2,3";17;87;54;297;0.239437;0.69011;0.163462;0.846154;0.194286
0.1;1;32;"1,2,4";47;19;85;304;0.356061;0.771429;0.712121;0.781491;0.474747
0.1;1;32;"1,3,4";55;13;135;252;0.289474;0.674725;0.808824;0.651163;0.426357
0.1;1;32;"2,3,4";10;64;73;308;0.120482;0.698901;0.135135;0.808399;0.127389

FV w Color;FV w LBP;include road marks
Yes;No;No;
C;gamma;blkSize;datasets trained on;TP;FN;FP;TN;precision;accuracy;recall;True negative rate;F
0.1;1;8;"1,2";296;134;322;1048;0.478964;0.746667;0.688372;0.764964;0.564885
0.1;1;8;"1,3";270;189;312;1029;0.463918;0.721667;0.588235;0.767338;0.518732
