
FV w Color;FV w LBP;include road marks
No;Yes;No;
C;gamma;blkSize;datasets trained on;TP;FN;FP;TN;precision;accuracy;recall;True negative rate;F
0.1;1e-05;8;"1,2";158;272;232;1138;0.405128;0.72;0.367442;0.830657;0.385366
0.1;1e-05;8;"1,3";240;219;376;965;0.38961;0.669444;0.522876;0.719612;0.446512
0.1;1e-05;8;"1,4";311;76;457;956;0.404948;0.703889;0.803618;0.676575;0.538528
0.1;1e-05;8;"2,3";332;135;642;691;0.340862;0.568333;0.710921;0.51838;0.460791
0.1;1e-05;8;"2,4";259;136;405;1000;0.39006;0.699444;0.655696;0.711744;0.489141
0.1;1e-05;8;"3,4";152;272;315;1061;0.325482;0.673889;0.358491;0.771076;0.34119
0.1;1e-05;8;"1,2,3";218;33;442;207;0.330303;0.472222;0.868526;0.318952;0.478595
0.1;1e-05;8;"1,2,4";33;146;271;450;0.108553;0.536667;0.184358;0.624133;0.136646
0.1;1e-05;8;"1,3,4";161;47;286;406;0.360179;0.63;0.774038;0.586705;0.491603
0.1;1e-05;8;"2,3,4";122;94;248;436;0.32973;0.62;0.564815;0.637427;0.416382
0.1;1e-05;16;"1,2";115;219;172;934;0.400697;0.728472;0.344311;0.844485;0.37037
0.1;1e-05;16;"1,3";186;158;209;887;0.470886;0.745139;0.540698;0.809307;0.503383
0.1;1e-05;16;"1,4";73;215;159;993;0.314655;0.740278;0.253472;0.861979;0.280769
0.1;1e-05;16;"2,3";88;267;109;976;0.446701;0.738889;0.247887;0.899539;0.318841
0.1;1e-05;16;"2,4";216;83;373;768;0.366723;0.683333;0.722408;0.673094;0.486486
0.1;1e-05;16;"3,4";167;142;168;963;0.498507;0.784722;0.540453;0.851459;0.518634
0.1;1e-05;16;"1,2,3";19;176;52;473;0.267606;0.683333;0.0974359;0.900952;0.142857
0.1;1e-05;16;"1,2,4";52;87;133;448;0.281081;0.694444;0.374101;0.771084;0.320988
0.1;1e-05;16;"1,3,4";88;61;180;391;0.328358;0.665278;0.590604;0.684764;0.422062
0.1;1e-05;16;"2,3,4";93;67;172;388;0.350943;0.668056;0.58125;0.692857;0.437647
0.1;1e-05;32;"1,2";83;87;39;701;0.680328;0.861538;0.488235;0.947297;0.568493
0.1;1e-05;32;"1,3";72;100;24;714;0.75;0.863736;0.418605;0.96748;0.537313
0.1;1e-05;32;"1,4";71;63;44;732;0.617391;0.882418;0.529851;0.943299;0.570281
0.1;1e-05;32;"2,3";58;120;15;717;0.794521;0.851648;0.325843;0.979508;0.462151
0.1;1e-05;32;"2,4";96;44;70;700;0.578313;0.874725;0.685714;0.909091;0.627451
0.1;1e-05;32;"3,4";67;75;46;722;0.59292;0.867033;0.471831;0.940104;0.52549
0.1;1e-05;32;"1,2,3";74;30;30;321;0.711538;0.868132;0.711538;0.91453;0.711538
0.1;1e-05;32;"1,2,4";10;56;22;367;0.3125;0.828571;0.151515;0.943445;0.204082
0.1;1e-05;32;"1,3,4";43;25;15;372;0.741379;0.912088;0.632353;0.96124;0.68254
0.1;1e-05;32;"2,3,4";53;21;15;366;0.779412;0.920879;0.716216;0.96063;0.746479

FV w Color;FV w LBP;include road marks
Yes;No;No;
C;gamma;blkSize;datasets trained on;TP;FN;FP;TN;precision;accuracy;recall;True negative rate;F
0.1;1e-05;8;"1,2";360;70;264;1106;0.576923;0.814444;0.837209;0.807299;0.683112
0.1;1e-05;8;"1,3";282;177;128;1213;0.687805;0.830556;0.614379;0.904549;0.649022
0.1;1e-05;8;"1,4";198;189;155;1258;0.560907;0.808889;0.511628;0.890304;0.535135
0.1;1e-05;8;"2,3";274;193;270;1063;0.503676;0.742778;0.586724;0.797449;0.542038
