0,"273;9;9;4;19;0;3;9;30;2;2;0;7;0;0;4;49;3;3;0;2;1;3;3;24;5;1;0;13;1;3;5;34;3;3;1;2;0;1;0;2;0;0;0;4;0;0;0;29;5;0;2;4;0;2;2;8;5;0;0;3;1;2;6;49;9;6;3;2;1;0;3;3;3;1;0;7;0;0;0;14;4;0;2;1;1;0;2;9;1;1;0;4;0;1;4;33;6;2;3;5;0;1;3;4;0;1;0;2;3;1;0;51;13;7;5;14;3;6;10;30;7;3;8;23;7;8;28;287;12;12;4;19;1;1;2;27;2;2;0;3;0;0;1;56;4;3;0;2;1;3;0;26;3;1;1;14;0;3;4;38;2;3;1;2;1;0;0;2;0;0;0;4;0;0;0;33;4;1;2;3;0;2;1;8;4;0;0;6;1;2;3;49;4;5;1;2;1;1;2;3;3;1;0;8;0;0;1;14;3;0;1;2;2;0;1;11;1;1;0;5;0;3;3;35;4;1;3;4;1;2;3;4;0;1;0;2;3;0;0;55;8;6;5;10;2;5;7;36;6;3;7;25;7;5;29;272;12;9;5;17;0;2;2;29;1;2;1;6;0;0;0;55;3;1;0;6;0;4;0;29;3;2;0;19;0;1;5;29;3;3;1;3;0;0;0;3;0;0;0;2;0;0;0;42;3;0;3;4;0;2;1;15;1;0;0;8;1;4;4;50;6;5;3;2;0;3;0;1;2;1;0;5;0;0;2;16;5;0;1;0;1;0;1;9;2;0;0;3;1;2;3;40;3;2;3;1;0;3;3;4;1;1;0;5;4;0;1;45;13;9;2;10;4;3;8;37;8;3;9;24;6;9;21"
1,"341;15;21;12;30;5;16;9;30;3;3;2;17;1;8;9;42;8;2;2;4;1;2;3;21;2;3;1;19;3;9;13;27;1;0;2;5;0;0;2;1;1;0;0;1;0;1;2;22;2;3;1;4;0;2;2;13;3;1;0;12;3;4;6;22;6;5;3;5;0;3;1;2;0;1;0;1;3;0;5;8;1;1;2;0;0;2;2;6;2;0;2;2;1;3;5;13;4;0;2;3;1;2;0;6;1;1;0;2;0;1;3;13;5;1;3;4;5;4;1;11;6;3;1;16;8;10;22;345;12;23;14;29;7;14;10;30;4;3;2;15;1;7;8;35;9;2;0;4;1;2;3;22;2;3;2;16;5;8;11;25;1;0;2;4;0;1;2;1;1;0;0;2;0;1;2;25;2;1;1;1;0;2;2;14;0;1;0;12;3;5;6;22;8;5;2;3;1;3;3;3;0;1;0;2;2;1;8;7;1;1;1;0;0;2;2;6;3;0;2;3;0;4;5;12;5;0;2;3;2;1;2;6;1;0;0;2;0;1;2;13;5;1;4;6;4;5;2;8;6;4;1;18;9;6;26;313;15;18;17;30;5;17;9;31;3;5;2;19;1;13;8;40;9;3;0;4;1;3;3;23;1;3;0;21;2;8;16;22;1;1;1;4;0;0;3;1;1;0;0;1;0;1;2;25;2;1;2;5;0;2;2;18;0;1;1;12;3;4;7;22;7;4;3;4;0;3;3;2;0;1;0;0;2;0;3;8;1;1;1;0;0;2;2;4;2;0;2;2;0;4;6;10;3;0;1;3;1;2;1;7;1;0;0;2;0;1;2;23;4;2;3;5;5;4;2;12;7;3;1;21;7;12;24"
2,"307;14;13;6;22;3;8;10;34;0;4;2;20;2;2;6;49;3;2;3;8;1;8;2;35;5;4;2;46;2;9;7;21;1;3;1;0;2;0;1;7;0;1;0;1;0;0;1;21;2;2;3;8;0;5;1;23;2;1;3;11;3;11;9;19;8;0;3;6;1;2;1;2;0;0;0;2;1;1;4;8;1;0;1;0;0;1;1;4;0;0;0;2;1;6;8;10;3;0;2;1;1;1;2;2;2;0;0;1;1;1;4;22;3;2;0;4;2;2;2;13;5;0;1;26;7;14;24;281;13;17;4;22;6;9;7;27;2;6;1;28;2;4;4;45;1;2;1;9;1;10;3;37;2;2;3;61;3;9;11;20;3;2;0;4;2;1;1;6;0;0;1;2;0;1;2;27;1;3;3;7;0;4;0;19;2;3;2;18;2;13;8;16;8;1;2;4;2;2;1;1;0;0;0;1;1;3;2;6;2;0;1;1;0;0;0;2;1;1;0;3;1;6;10;12;2;2;1;2;0;1;1;0;2;0;0;1;1;3;3;24;3;1;1;6;2;2;0;12;3;0;2;23;10;10;26;298;14;15;3;22;4;11;7;28;2;4;2;17;1;3;6;43;1;1;2;8;1;7;3;30;2;3;2;62;3;10;5;24;1;2;1;0;1;0;1;9;0;1;0;2;0;0;2;22;3;2;3;4;1;4;1;24;2;1;3;11;4;14;10;17;10;0;3;6;1;3;2;2;1;0;1;1;3;2;1;7;3;0;2;0;1;2;0;4;2;1;0;7;3;5;8;13;3;0;2;3;2;1;1;0;2;0;0;1;1;1;3;15;6;2;0;3;3;1;0;9;5;1;2;23;9;13;28"
3,"312;21;17;10;24;4;9;15;23;0;3;2;16;2;11;6;39;5;5;2;2;1;3;5;24;2;3;3;9;2;11;11;28;4;1;1;2;0;2;0;9;0;1;0;3;1;2;1;17;4;2;1;1;1;0;2;12;3;3;3;14;0;3;9;34;7;2;5;4;0;2;4;4;1;0;2;4;1;2;4;8;3;0;1;0;1;1;0;2;0;0;1;1;2;4;8;19;4;0;2;1;1;3;1;5;0;0;0;3;1;1;1;18;9;3;5;5;5;2;8;22;7;1;0;16;6;10;25;314;23;17;13;26;4;15;11;25;0;3;3;17;1;15;9;33;5;3;4;3;1;3;2;25;4;3;2;14;1;7;9;30;4;2;1;1;0;2;0;7;1;1;0;2;1;3;1;18;5;2;1;2;1;1;4;10;1;2;3;11;0;2;4;35;3;2;6;4;0;3;3;4;0;0;2;4;0;2;3;9;0;0;2;0;1;1;1;2;0;0;1;2;2;3;6;22;6;1;0;1;2;1;3;7;0;0;0;3;1;2;1;19;7;3;3;5;3;2;10;19;7;1;0;9;4;10;33;292;22;15;11;23;4;10;11;16;0;2;5;22;1;13;8;34;6;5;2;5;1;4;4;24;4;4;4;13;2;10;11;25;3;0;2;2;1;3;2;9;0;1;1;2;1;2;0;17;6;2;2;3;1;1;2;14;1;3;2;12;1;5;5;38;8;1;6;4;1;4;6;4;1;0;1;5;1;3;5;11;1;1;2;0;1;1;1;3;0;0;1;1;2;4;6;19;6;0;1;2;0;2;1;5;1;0;0;2;1;2;2;20;9;2;4;5;3;1;5;23;8;1;0;15;5;11;26"
4,"82;11;15;12;15;1;14;24;8;2;1;3;13;3;9;9;7;1;3;5;2;0;1;7;9;3;1;4;14;2;11;25;23;3;3;2;4;0;2;0;5;0;0;1;3;0;2;1;11;4;1;3;0;0;0;5;22;5;1;5;42;14;17;20;25;11;12;32;4;0;5;13;1;1;0;1;1;2;3;8;0;2;0;7;1;0;0;2;4;1;0;6;2;9;2;21;32;18;1;18;3;1;2;7;6;0;0;0;6;1;3;6;20;13;0;12;4;1;3;13;25;10;1;14;21;26;9;56;83;12;15;15;16;0;14;20;9;1;1;2;11;3;9;8;6;1;2;6;2;0;1;8;9;3;1;2;14;3;11;25;22;3;4;2;4;0;2;0;5;0;0;1;3;0;2;1;13;4;2;2;0;0;0;5;24;5;0;6;39;15;17;19;26;12;13;30;3;0;5;14;1;2;0;2;1;2;2;9;0;2;1;6;1;0;0;2;2;1;0;6;3;9;3;20;34;18;1;19;3;2;2;7;5;0;0;0;6;2;3;8;19;12;0;11;4;1;3;13;25;10;2;14;21;23;9;56;83;11;17;15;14;0;15;19;11;1;2;2;12;3;7;9;5;1;2;5;2;0;1;8;10;4;1;3;14;3;11;25;19;3;4;2;4;1;1;0;5;0;0;1;3;0;2;1;13;4;1;3;0;0;0;4;22;5;2;5;39;13;18;19;29;12;11;30;4;0;5;14;1;1;0;1;1;2;3;9;0;2;0;7;1;0;0;2;2;1;0;6;3;9;3;20;33;19;1;18;2;2;2;8;4;1;0;0;7;2;3;8;19;14;1;11;4;1;3;13;25;10;0;14;21;23;8;58"
5,"279;38;27;19;31;3;13;33;17;4;1;3;19;1;11;9;14;9;3;5;4;1;2;5;10;1;8;2;15;4;14;15;22;6;3;2;4;0;0;1;1;0;1;0;0;1;2;3;10;1;0;1;0;2;2;1;7;2;1;1;2;5;6;9;34;18;5;4;1;2;6;7;1;1;1;0;3;4;2;5;5;0;0;0;1;0;1;3;1;1;0;1;5;2;9;17;17;14;1;5;2;8;1;3;0;1;0;0;2;4;0;3;6;7;0;4;2;1;1;14;9;6;2;4;9;11;4;27;279;38;31;21;28;3;11;34;13;3;1;4;14;0;10;10;14;6;4;3;6;0;3;4;7;3;8;2;17;6;12;11;20;5;2;3;3;0;0;1;2;0;1;0;1;2;3;3;9;3;0;1;0;1;2;2;8;2;1;3;4;4;9;6;31;15;6;7;4;4;4;6;4;1;1;0;3;5;2;3;4;0;0;0;0;0;1;2;1;0;0;1;6;3;9;17;20;17;0;4;1;7;2;3;1;1;0;0;0;3;0;3;13;8;0;4;2;1;1;14;8;4;1;4;9;9;3;34;260;41;29;19;30;4;20;40;18;1;2;4;17;1;12;10;16;5;4;4;5;0;2;6;9;1;8;2;16;4;16;18;24;5;3;3;3;0;0;0;1;0;1;0;0;2;2;3;9;1;1;1;0;1;1;1;7;1;1;1;3;5;7;7;37;16;4;5;4;3;3;7;2;1;1;0;3;6;4;6;3;0;0;0;1;0;1;2;1;1;0;0;4;2;9;15;15;14;0;6;2;7;2;4;0;1;0;0;0;4;1;3;7;9;0;4;2;2;1;15;8;6;1;2;10;8;4;27"
6,"353;38;29;22;36;5;18;21;21;5;3;2;12;10;3;12;16;7;1;5;4;1;3;9;8;3;3;3;4;2;3;16;16;3;1;3;2;0;2;4;2;0;0;0;1;1;0;2;7;6;1;3;4;1;1;2;5;1;0;4;0;2;4;9;23;12;2;10;7;0;3;13;7;1;0;1;2;3;1;4;3;0;0;1;1;0;1;3;5;2;0;4;2;4;2;10;12;5;1;2;1;2;5;9;0;1;0;2;1;1;2;3;3;5;3;7;5;1;1;5;5;4;2;1;11;10;2;20;317;38;26;22;34;7;20;30;21;3;3;2;14;12;5;20;13;7;1;5;6;1;2;9;12;4;2;3;6;1;4;13;12;5;2;1;2;0;1;6;2;0;0;0;1;1;0;0;9;6;1;3;4;2;2;2;5;0;0;1;2;3;5;11;23;11;2;9;4;1;1;14;7;1;0;1;1;3;0;6;4;0;0;2;1;0;1;5;1;1;0;5;6;3;3;15;12;3;3;1;2;1;5;10;0;2;0;1;1;2;3;3;4;4;4;5;8;1;2;7;4;5;2;3;7;10;4;22;311;47;26;26;33;7;19;36;19;3;5;0;13;10;5;14;16;7;2;4;4;1;2;5;9;4;2;5;5;4;4;18;15;5;2;1;1;0;1;3;1;1;0;1;3;1;0;0;10;6;1;3;4;0;1;1;4;1;2;2;0;1;5;8;26;12;4;13;3;1;4;14;7;2;0;1;4;3;0;3;3;0;0;0;0;0;0;4;2;1;1;3;3;5;1;12;13;3;1;5;2;1;5;6;2;1;0;3;1;0;2;3;6;8;2;3;3;3;1;13;3;4;2;1;10;8;3;24"
7,"303;46;32;22;25;5;14;14;24;5;5;1;13;3;6;8;20;9;1;5;10;2;2;2;10;4;3;6;7;6;6;4;15;2;5;4;5;1;5;2;2;3;0;1;0;0;1;1;13;2;0;1;0;0;3;2;8;5;2;2;4;2;6;9;29;14;3;9;5;2;6;6;2;4;0;1;6;2;2;8;5;0;2;2;0;3;2;5;4;2;2;0;4;2;2;15;16;4;0;4;3;3;2;5;4;2;0;0;3;1;0;3;6;4;0;5;2;0;1;9;4;4;0;4;3;12;1;41;270;40;28;23;24;5;16;22;19;6;5;1;12;5;4;14;22;7;2;4;9;2;3;2;10;3;1;3;6;5;5;8;17;2;3;5;2;1;5;0;1;4;0;1;0;0;2;1;14;2;0;2;0;0;2;1;10;3;1;2;2;1;7;9;33;18;2;9;5;5;4;5;2;5;0;0;4;4;1;9;3;2;1;2;1;4;2;5;6;3;2;1;4;3;2;17;15;6;1;7;2;3;2;6;3;2;0;1;3;2;0;2;13;5;0;4;2;0;2;11;7;7;0;2;9;14;3;40;290;40;29;26;22;7;15;18;24;4;5;1;11;3;9;10;19;7;2;6;12;1;1;1;14;4;2;3;9;5;5;6;15;5;5;5;1;1;7;1;2;3;0;1;2;0;2;1;11;2;2;1;0;0;3;0;7;5;1;0;4;2;9;9;33;14;2;9;4;1;7;6;3;4;0;1;3;2;3;8;4;1;1;3;1;4;3;4;4;3;2;0;7;2;1;12;18;4;1;4;4;3;2;6;3;1;0;1;3;2;0;4;4;7;0;5;2;0;2;8;5;7;1;4;4;11;3;35"
8,"302;39;22;14;20;7;14;12;16;1;1;2;10;3;3;5;28;4;2;3;3;0;2;1;14;2;0;3;19;3;8;9;24;2;3;0;5;1;0;2;3;0;0;0;1;0;2;1;20;2;1;3;1;1;1;0;4;1;2;1;7;4;2;7;32;15;6;6;7;0;2;5;11;0;1;2;2;2;5;5;7;3;1;1;1;1;2;3;4;2;0;0;6;4;3;8;22;10;4;5;6;2;2;5;3;1;0;3;1;1;0;3;14;8;1;5;3;1;3;11;13;6;1;4;13;12;5;36;301;38;24;22;27;5;16;13;20;1;2;1;11;4;5;3;32;4;1;2;4;0;3;1;12;4;1;2;12;1;8;8;23;4;2;1;5;1;0;3;2;0;1;0;0;1;1;1;19;3;1;3;1;2;1;3;6;0;1;1;5;4;2;9;35;12;3;3;3;3;2;8;10;0;1;2;2;2;4;7;7;2;1;1;1;1;3;4;3;2;0;1;3;1;3;10;23;7;3;6;5;1;2;5;2;2;0;2;1;2;0;6;18;7;2;4;2;2;1;6;14;6;2;5;6;11;6;31;329;40;25;15;24;6;11;15;19;1;1;1;9;4;3;3;28;5;1;3;2;1;3;1;11;3;0;3;7;2;7;11;21;2;2;0;5;1;1;3;3;0;0;0;0;0;1;1;21;1;1;3;2;1;1;1;6;2;1;2;3;4;2;9;35;11;6;5;4;0;2;5;12;1;1;4;2;1;4;6;9;1;1;1;1;1;4;3;3;2;0;2;3;3;3;6;19;4;2;5;7;2;2;7;1;3;0;3;1;2;1;5;13;7;1;4;2;3;2;7;14;7;2;3;8;10;9;32"
9,"371;41;23;11;28;3;13;12;25;1;0;2;13;1;6;3;27;3;3;4;2;1;1;4;11;2;0;1;9;4;4;6;28;3;2;2;1;0;3;5;1;0;1;0;1;1;1;1;13;3;1;0;2;2;1;3;6;2;0;1;2;2;2;6;43;12;3;5;8;1;1;5;1;4;1;1;3;2;2;7;5;0;0;0;2;0;1;5;7;1;2;1;5;1;1;8;21;9;2;2;3;3;3;7;1;1;0;0;0;1;1;6;6;7;1;2;3;0;3;6;8;5;0;7;15;7;6;19;338;44;25;12;28;4;10;13;23;2;0;2;16;2;5;2;28;3;3;4;5;1;2;5;15;2;0;1;10;4;3;7;26;3;2;3;3;0;3;6;1;0;1;0;1;1;1;1;14;3;1;0;1;2;1;4;5;2;1;2;2;3;1;8;42;11;4;6;6;1;1;7;1;4;1;1;2;1;2;10;5;0;1;0;2;0;3;5;4;1;2;2;2;2;2;9;14;5;2;0;3;5;3;11;0;1;0;1;0;1;2;5;14;9;2;2;4;1;2;5;7;8;0;6;17;7;7;19;313;36;23;14;28;2;14;24;18;1;0;3;15;2;5;4;28;5;3;3;4;1;0;4;13;3;1;1;28;4;4;10;31;4;2;2;1;0;4;2;1;0;1;0;2;2;1;0;10;3;1;0;1;2;1;4;5;1;0;0;3;1;4;9;39;23;2;6;6;2;1;6;2;4;1;1;2;1;2;8;3;1;0;0;2;0;1;6;4;2;2;0;6;2;1;11;18;7;4;1;2;4;3;9;1;1;0;0;0;0;1;6;8;10;1;3;4;0;3;6;7;5;1;6;17;11;4;22"
